job_link,job_title,company,job_type
https://www.linkedin.com/jobs/view/remote-medical-coder-at-oxford-global-resources-3792200352,Remote Medical Coder,Oxford Global Resources,Remote
https://www.linkedin.com/jobs/view/account-executive-screening-kansas-city-kansas-city-at-guardant-health-3767308846,"Account Executive, Screening, Kansas City (Kansas City)",Guardant Health,Remote
https://www.linkedin.com/jobs/view/outside-sales-account-executive-direct-sales-electronic-payments-mid-atlantic-at-xplor-technologies-3799866036,"Outside Sales Account Executive, Direct Sales Electronic Payments, Mid Atlantic",Xplor Technologies,Remote
https://www.linkedin.com/jobs/view/account-executive-ediscovery-at-morae-3792954891,Account Executive - eDiscovery,Morae,Remote
https://www.linkedin.com/jobs/view/sales-account-executive-at-reitrades-3802761415,Sales Account Executive,Reitrades,Remote
